persona,label,similitud_cosine,similitud_euclidean,similitud_manhattan,similitud_combined
persona_20,0,0.5145914722234011,0.4178112560394702,0.038073875320781374,0.43790564767795986
persona_21,0,0.5015155775472522,0.41458190606674006,0.03692376515243603,0.42897629486361694
persona_22,0,0.4296397715806961,0.39833592365876463,0.0348969053397614,0.38077433058002313
persona_23,0,0.509329030290246,0.4165003822856776,0.0378065143348234,0.4343281842933332
persona_25,0,0.48541274294257164,0.4107291039331757,0.03626092918907696,0.41809246986440335
persona_26,0,0.4883297048509121,0.4114172064981747,0.037240717203161675,0.42014705658031587
persona_27,0,0.6223420575261116,0.448616059868469,0.042930063990432185,0.5122830588752508
persona_28,0,0.5215147901326418,0.4195594355043894,0.03897348493521021,0.44267405322442294
persona_29,0,0.6687068492174149,0.4648651584211912,0.04531302396813928,0.5452149594536202
persona_30,0,0.5866448357701302,0.43747324008270294,0.0416229032667304,0.48739116381356196
persona_31,0,0.5081851286813617,0.41621745100868357,0.03766362644873226,0.4335426751562953
persona_32,0,0.4828633349388838,0.4101311679247087,0.036946621304601454,0.41645201347120303
persona_33,0,0.7186741083860397,0.48524767153820864,0.049071619154337096,0.5816859284085202
persona_34,0,0.5718210786581039,0.43314274643819095,0.040754425761428716,0.47711091370246256
persona_35,0,0.6972571164369583,0.47609036684394657,0.0480562969076353,0.5659870096061225
persona_37,0,0.5539058409631252,0.42811780940012834,0.040050484780085494,0.46478389587592217
persona_38,0,0.5210552047938108,0.4194425638343512,0.039193582003103265,0.4423852502269021
persona_39,0,0.558774895966053,0.4294618559230211,0.040660721208808946,0.468169566477419
